Date,Open,High,Low,Last,Volume
2008-01-07,141.81,142.23,140.10,141.19,234546200
2008-01-08,142.08,142.90,138.44,138.91,326274900
2008-01-09,139.09,140.79,137.70,140.37,301820400
2008-01-10,139.68,142.80,139.37,141.29,335606600
2008-01-11,140.78,141.90,139.00,140.15,267015600
2008-01-14,141.16,141.86,140.40,141.28,169984600
2008-01-15,139.79,141.49,137.90,138.17,239989300
2008-01-16,137.36,139.12,136.28,136.98,378804300
2008-01-17,137.81,137.88,132.93,133.43,397884400
2008-01-18,134.74,135.02,131.10,132.06,348409400
2008-01-22,127.21,132.43,126.00,130.72,435734000
2008-01-23,127.09,134.19,126.84,133.86,511174900
2008-01-24,134.48,135.46,133.31,134.99,259699900
2008-01-25,136.51,136.76,132.60,133.04,270273200
2008-01-28,133.26,135.52,132.06,135.24,217578900
2008-01-29,136.10,136.45,134.88,135.91,168677500
2008-01-30,135.58,138.54,134.60,134.91,335938200
2008-01-31,133.40,138.54,133.20,137.37,342925500
2008-02-01,137.94,139.61,137.52,139.58,206496100
2008-02-04,139.21,139.30,137.64,137.82,124644700
2008-02-05,135.94,136.25,133.67,134.13,286601900
2008-02-06,134.58,135.25,132.41,133.05,250070800
2008-02-07,131.80,134.79,131.73,133.93,297359800
2008-02-08,133.09,134.22,132.10,133.07,221620100
2008-02-11,133.10,134.23,132.04,133.75,188500600
2008-02-12,134.91,136.31,133.98,134.99,256384900
2008-02-13,136.01,137.10,135.14,136.37,181866100
2008-02-14,136.95,137.00,134.79,135.17,215011900
2008-02-15,134.55,136.10,133.36,135.14,153923800
2008-02-19,136.69,136.89,134.61,135.52,145091700
2008-02-20,133.99,137.60,133.76,135.92,220510800
2008-02-21,136.66,137.01,134.07,134.79,200979400
2008-02-22,134.97,135.85,132.86,135.62,205419900
2008-02-25,135.54,137.65,134.78,137.33,189754500
2008-02-26,136.75,138.95,136.50,138.36,212243300
2008-02-27,137.56,139.14,137.41,138.22,168124200
2008-02-28,137.24,137.96,136.55,136.87,169759000
2008-02-29,135.60,137.02,132.78,133.82,252612200
2008-03-03,133.14,133.81,132.24,133.50,189416000
2008-03-04,132.23,133.40,130.99,132.99,282342400
2008-03-05,133.41,134.77,132.34,133.83,270456100
2008-03-06,132.98,133.22,130.55,131.06,247444900
2008-03-07,129.63,131.74,128.58,129.71,326349900
2008-03-10,129.81,129.93,127.59,128.00,235480100
2008-03-11,130.72,132.72,127.72,132.60,341471800
2008-03-12,132.73,133.77,131.16,131.36,228484600
2008-03-13,129.61,132.64,128.60,131.65,349430500
2008-03-14,132.77,132.81,127.78,129.61,484574700
2008-03-17,126.57,129.26,126.07,128.30,404979900
2008-03-18,130.62,133.69,129.98,133.63,334234800
2008-03-19,134.14,134.65,130.04,130.32,345440200
2008-03-20,130.05,132.91,129.26,132.08,243211000
2008-03-24,133.31,135.81,133.24,134.72,208850700
2008-03-25,134.86,135.55,133.77,134.85,192849500
2008-03-26,134.46,135.09,133.11,133.20,196656700
2008-03-27,134.20,134.44,132.36,132.78,225106400
2008-03-28,132.99,133.36,131.06,131.51,180885000
2008-03-31,131.29,132.73,131.09,131.97,166371600
2008-04-01,133.71,136.84,133.51,136.61,254379400
2008-04-02,137.06,137.67,135.98,136.70,210825100
2008-04-03,135.94,137.44,135.71,137.04,175526900
2008-04-04,137.12,137.96,136.12,136.89,204426200
2008-04-07,137.87,138.57,136.74,136.96,154244700
2008-04-08,136.19,137.16,135.95,136.82,147911300
2008-04-09,136.61,136.80,134.89,135.83,195460200
2008-04-10,135.39,136.67,134.90,136.02,189568500
2008-04-11,134.45,135.98,133.01,133.38,222889100
2008-04-14,133.19,133.54,132.55,132.93,160429200
2008-04-15,133.58,133.69,132.33,133.24,172127000
2008-04-16,134.54,136.93,134.40,136.85,189021700
2008-04-17,136.02,137.25,135.66,137.05,184870700
2008-04-18,138.94,139.56,138.26,138.48,217287300
2008-04-21,138.23,138.98,136.87,138.55,118555800
2008-04-22,138.19,138.37,136.64,137.94,161917400
2008-04-23,138.09,138.78,137.12,137.72,193008700
2008-04-24,138.08,139.74,137.04,138.32,229290200
2008-04-25,139.41,139.89,137.91,139.60,188763700
2008-04-28,139.88,140.25,139.38,139.63,105582100
2008-04-29,139.39,139.73,138.61,139.08,135749400
2008-04-30,139.29,140.59,138.26,138.26,208331200
2008-05-01,138.39,141.12,138.27,141.12,187219900
2008-05-02,142.33,142.37,140.56,141.51,181524300
2008-05-05,141.05,141.61,140.41,140.83,118483700
2008-05-06,140.01,142.20,139.69,142.05,179308200
2008-05-07,141.89,142.04,139.13,139.52,199194800
2008-05-08,139.74,140.32,138.98,139.16,178252100
2008-05-09,138.60,139.39,138.45,138.90,152493400
2008-05-12,139.25,140.56,138.73,140.46,147865900
2008-05-13,140.80,140.89,139.73,140.48,159119300
2008-05-14,141.07,142.20,140.46,140.77,181860500
2008-05-15,141.04,142.63,140.83,142.53,166900800
2008-05-16,142.86,142.87,141.61,142.66,204199200
2008-05-19,142.81,144.30,142.30,143.05,165664600
2008-05-20,142.27,142.34,141.00,141.89,178519400
2008-05-21,141.81,142.12,139.00,139.49,252675000
2008-05-22,139.43,140.17,139.00,139.51,170792700
2008-05-23,139.05,139.66,137.52,137.64,181392500
2008-05-27,137.80,139.00,137.53,138.66,166807100
2008-05-28,139.17,140.00,138.00,139.30,181262900
2008-05-29,139.13,140.93,139.08,140.00,173827800
2008-05-30,140.47,140.74,139.94,140.35,117340400
2008-06-02,139.83,139.86,138.00,138.90,181025700
2008-06-03,139.30,139.62,137.23,138.09,271968700
2008-06-04,137.70,139.16,137.46,138.02,246637600
2008-06-05,138.58,140.89,138.32,140.78,237815800
2008-06-06,139.55,139.80,136.22,136.29,384220000
2008-06-09,136.86,137.50,135.41,136.62,228196700
2008-06-10,135.67,137.10,135.35,135.94,260138500
2008-06-11,135.97,136.26,133.93,133.94,283965900
2008-06-12,134.60,135.87,133.52,134.45,252636200
2008-06-13,135.17,136.52,134.42,136.15,244684100
2008-06-16,135.55,136.93,135.46,136.23,185786300
2008-06-17,137.07,137.12,135.37,135.57,191678300
2008-06-18,134.69,135.52,133.71,134.25,265889900
2008-06-19,134.15,135.24,132.00,134.42,304204800
2008-06-20,132.84,133.09,131.22,131.58,289140500
2008-06-23,132.09,132.23,131.32,131.45,165080300
2008-06-24,131.05,132.44,130.19,131.19,267256400
2008-06-25,131.72,133.40,131.24,131.81,287743600
2008-06-26,130.57,131.42,128.08,128.23,297583300
2008-06-27,128.28,128.86,127.04,127.53,303383700
2008-06-30,127.89,128.91,127.30,127.98,258671300
2008-07-01,126.52,128.47,125.93,128.38,388567200
2008-07-02,128.79,129.16,125.95,126.18,288068100
2008-07-03,127.11,127.11,124.99,126.31,239359700
2008-07-07,126.79,127.34,123.92,125.02,372343400
2008-07-08,124.99,127.39,124.20,127.24,376075700
2008-07-09,127.50,127.74,124.39,124.79,336478500
2008-07-10,124.43,125.79,123.58,125.30,436381300
2008-07-11,123.97,125.90,122.49,123.84,480922500
2008-07-14,125.26,125.50,122.40,122.72,322584800
2008-07-15,121.80,123.49,120.02,120.99,502365500
2008-07-16,121.45,124.57,121.10,123.96,371463500
2008-07-17,125.14,126.26,124.09,125.20,375241800
2008-07-18,126.17,126.42,125.15,125.98,266973400
2008-07-21,126.51,126.80,125.19,126.05,222190700
2008-07-22,125.15,127.80,124.85,127.48,296794500
2008-07-23,127.89,129.15,127.55,128.17,311617000
2008-07-24,128.34,128.41,125.16,125.51,248556200
2008-07-25,125.89,126.49,125.17,125.48,219096100
2008-07-28,125.51,126.06,123.42,123.64,204809300
2008-07-29,123.98,126.38,123.64,126.28,261299300
2008-07-30,127.11,128.60,126.28,128.53,354568400
2008-07-31,127.40,128.57,126.63,126.83,277242200
2008-08-01,127.12,127.28,125.46,126.16,248683200
2008-08-04,126.04,126.14,124.76,124.99,188192600
2008-08-05,126.02,128.56,124.97,128.36,251357200
2008-08-06,128.02,129.30,127.48,128.93,209309200
2008-08-07,127.96,129.05,126.54,127.01,246186600
2008-08-08,126.58,129.93,126.38,129.37,260726300
2008-08-11,129.47,131.51,129.23,130.71,249295000
2008-08-12,130.28,130.70,128.73,129.35,212944000
2008-08-13,128.79,129.65,127.67,128.57,256332400
2008-08-14,127.84,130.28,127.75,129.54,239435000
2008-08-15,129.93,130.50,129.30,130.17,180994600
2008-08-18,130.43,130.48,127.66,128.39,171870800
2008-08-19,127.42,128.12,126.53,126.99,194596300
2008-08-20,127.39,127.95,126.34,127.58,225437000
2008-08-21,126.75,128.44,126.60,127.80,180469900
2008-08-22,128.67,129.65,127.80,129.65,167645600
2008-08-25,128.80,129.65,126.75,127.02,171894000
2008-08-26,127.02,127.87,126.58,127.39,158939600
2008-08-27,127.55,128.83,127.30,128.63,170858500
